,Host Response Rate,Host Acceptance Rate,Host Listings Count,Bathrooms,Bedrooms,Beds,Price,Number of Reviews,Geolocation
135,100.0,100%,8,1.0,1.0,1.0,45.0,10,"42.35758807289677, -71.12854637079751"
136,100.0,100%,1,1.0,1.0,1.0,95.0,80,"42.35284213595951, -71.12815277256124"
137,71.0,98%,363,2.0,3.0,3.0,239.0,4,"42.349894520751974, -71.1299221016894"
138,100.0,100%,7,2.0,4.0,6.0,400.0,7,"42.357683179974586, -71.1293690102354"
140,100.0,81%,5,1.0,1.0,3.0,140.0,0,"42.355575057917854, -71.11156918509697"
141,96.0,100%,28,1.0,1.0,1.0,75.0,0,"42.382368498952886, -71.08617032896075"
142,98.0,55%,749,1.0,1.0,1.0,169.0,0,"42.35304635864105, -71.0466642167258"
143,100.0,72%,71,1.0,1.0,2.0,200.0,3,"42.34874334691537, -71.03915072024411"
144,100.0,63%,12,1.0,1.0,2.0,249.0,1,"42.347726820090955, -71.03810845100845"
145,20.0,100%,2,2.0,2.0,2.0,240.0,4,"42.33412268684929, -71.05505481605249"
146,100.0,95%,8,1.0,1.0,1.0,99.0,4,"42.33704778536852, -71.03876491477372"
147,100.0,97%,1,1.5,2.0,3.0,250.0,56,"42.335677634992685, -71.04377831016802"
148,100.0,80%,1,1.0,1.0,1.0,139.0,1,"42.337114867653945, -71.05012860838741"
149,100.0,100%,1,1.0,1.0,1.0,57.0,7,"42.334821180451684, -71.04921200631978"
150,92.0,85%,2,1.0,1.0,1.0,150.0,24,"42.33932353196683, -71.05150316819869"
151,100.0,80%,2,2.0,2.0,2.0,500.0,1,"42.335351591344924, -71.04741304834126"
152,100.0,100%,1,1.0,1.0,2.0,70.0,45,"42.351531843323684, -71.12500876330118"
154,100.0,82%,6,2.0,1.0,1.0,100.0,1,"42.34999922872795, -71.13325251178459"
155,100.0,96%,2,1.0,2.0,3.0,260.0,35,"42.354375697125505, -71.12548068679705"
157,100.0,100%,8,2.0,1.0,1.0,70.0,35,"42.359025502967896, -71.13065800463156"
158,100.0,94%,2,1.0,1.0,2.0,138.0,2,"42.352194902478224, -71.12595064236262"
159,98.0,96%,5,1.0,3.0,5.0,125.0,24,"42.27917609759368, -71.13277179664853"
160,100.0,100%,1,3.5,1.0,2.0,125.0,1,"42.31256675906354, -71.1260799891796"
161,100.0,76%,2,1.0,1.0,2.0,125.0,132,"42.30334665895726, -71.1049737158891"
162,100.0,100%,1,1.0,2.0,2.0,145.0,4,"42.30606393566502, -71.11516053902132"
163,100.0,50%,2,1.0,1.0,2.0,125.0,2,"42.32551166968834, -71.11320967171939"
164,67.0,33%,1,1.0,4.0,4.0,275.0,1,"42.312741876546035, -71.11201449929162"
165,90.0,83%,2,1.0,1.0,1.0,100.0,1,"42.305711663190294, -71.1056671002783"
167,100.0,100%,1,1.0,1.0,1.0,80.0,107,"42.31846334578227, -71.10792704855353"
168,100.0,100%,1,1.0,1.0,1.0,85.0,26,"42.309838352752514, -71.10752400155785"
169,100.0,100%,3,2.0,1.0,1.0,70.0,7,"42.31342150080405, -71.10711860330036"
170,100.0,100%,1,1.0,2.0,3.0,135.0,92,"42.31337882617406, -71.11718908596617"
171,100.0,85%,1,1.0,1.0,1.0,110.0,68,"42.3154779458348, -71.09929421406315"
172,100.0,92%,2,1.0,1.0,1.0,70.0,8,"42.31257952456626, -71.10784329213908"
173,100.0,50%,1,1.0,1.0,1.0,50.0,12,"42.30841063964904, -71.1013204329874"
174,100.0,97%,2,1.0,1.0,1.0,125.0,70,"42.32745887376272, -71.09931845165326"
175,50.0,100%,1,2.5,1.0,4.0,35.0,0,"42.33110058552291, -71.10202037996434"
176,100.0,100%,1,1.0,1.0,2.0,140.0,10,"42.33175609091467, -71.1074984171205"
177,100.0,100%,3,2.0,1.0,1.0,74.0,11,"42.330241444605235, -71.10468772708754"
178,81.0,67%,7,1.0,1.0,1.0,165.0,19,"42.34930061992321, -71.06897966781574"
179,100.0,100%,1,1.0,1.0,1.0,350.0,1,"42.34873142922351, -71.06831683813054"
180,100.0,100%,4,1.0,2.0,2.0,299.0,0,"42.35046583775115, -71.06709322548006"
181,100.0,97%,13,2.0,4.0,6.0,375.0,8,"42.3488934738346, -71.05996425513219"
182,100.0,94%,11,1.0,1.0,2.0,149.0,40,"42.34859634227962, -71.0627601996312"
183,98.0,55%,749,2.0,2.0,2.0,199.0,0,"42.35094638720326, -71.06213032707227"
184,100.0,89%,1,1.0,1.0,1.0,84.0,29,"42.36662093236593, -71.05543429092167"
186,92.0,96%,5,1.0,1.0,1.0,85.0,25,"42.326420420569924, -71.09013270547341"
187,100.0,100%,7,2.0,3.0,5.0,350.0,9,"42.337134889887956, -71.0838133214568"
188,90.0,100%,1,1.0,0.0,1.0,110.0,82,"42.31289019947795, -71.08315548197108"
189,100.0,100%,18,2.0,1.0,1.0,99.0,48,"42.33087830519991, -71.09298435361652"
190,100.0,100%,7,3.5,0.0,3.0,450.0,0,"42.310767659335966, -71.08626930861664"
191,100.0,0%,1,1.0,1.0,1.0,79.0,3,"42.325137541246086, -71.09264112004337"
193,70.0,89%,1,1.0,1.0,1.0,110.0,5,"42.33716187471486, -71.07611332285877"
194,100.0,98%,5,1.5,1.0,1.0,125.0,26,"42.33831709434265, -71.0765863728929"
195,71.0,98%,363,1.0,1.0,1.0,269.0,4,"42.3447953930588, -71.06325925824873"
197,100.0,100%,1,1.0,1.0,1.0,149.0,0,"42.33905138738604, -71.07641049307902"
198,90.0,95%,1,1.0,0.0,1.0,120.0,15,"42.336347792469645, -71.07665638181408"
199,100.0,94%,7,1.0,1.0,1.0,119.0,0,"42.33608007227669, -71.07425896492398"
200,100.0,100%,1,1.0,1.0,1.0,119.0,29,"42.3397545430106, -71.07900429883712"
201,100.0,100%,6,1.0,1.0,1.0,170.0,19,"42.342858049101935, -71.07339304532253"
202,100.0,95%,1,1.0,1.0,1.0,175.0,24,"42.33943485166942, -71.08005787284273"
203,100.0,63%,1,1.0,1.0,1.0,139.0,9,"42.34494492926521, -71.07599093732362"
204,100.0,91%,37,1.0,1.0,2.0,215.0,2,"42.345078825964585, -71.07740009533862"
205,100.0,100%,1,1.5,1.0,1.0,250.0,123,"42.34707085326683, -71.07246978523966"
206,100.0,100%,5,1.0,1.0,2.0,254.0,8,"42.34709172616311, -71.07430618997331"
207,89.0,45%,558,1.0,2.0,2.0,349.0,8,"42.3460967185965, -71.07898646967591"
208,91.0,94%,11,1.0,2.0,2.0,239.0,14,"42.34964226006277, -71.0843452927662"
209,100.0,91%,52,1.0,0.0,1.0,150.0,2,"42.34950979261725, -71.08205049512304"
210,100.0,95%,4,1.0,1.0,1.0,185.0,82,"42.34402836742756, -71.08292014163338"
211,100.0,94%,2,1.0,0.0,1.0,175.0,92,"42.35262416707966, -71.08051383620193"
212,83.0,0%,1,1.0,1.0,1.0,249.0,1,"42.35159198224077, -71.08239647185567"
213,100.0,100%,1,1.5,1.0,1.0,102.0,0,"42.349597769716915, -71.08934622692323"
214,75.0,100%,1,1.0,0.0,1.0,170.0,0,"42.35212986698087, -71.0781293837889"
216,99.0,93%,24,1.0,1.0,1.0,89.0,8,"42.35865949033003, -71.14133391687972"
218,100.0,70%,2,1.0,2.0,2.0,125.0,86,"42.345020030959596, -71.16814210836499"
219,100.0,100%,4,3.0,1.0,1.0,45.0,1,"42.34033213436958, -71.15130495126171"
220,94.0,91%,3,1.0,2.0,2.0,300.0,0,"42.34241664197685, -71.14260046141861"
221,100.0,100%,1,1.0,1.0,2.0,99.0,3,"42.35451644287794, -71.13961327676337"
223,36.0,71%,2,1.5,1.0,1.0,50.0,5,"42.266799595936945, -71.10297276853714"
225,100.0,100%,3,1.0,1.0,1.0,73.0,1,"42.28713770594628, -71.06280658166426"
226,100.0,90%,1,1.0,1.0,1.0,80.0,59,"42.290406778276896, -71.05853479240663"
227,100.0,100%,2,1.0,1.0,1.0,100.0,46,"42.318508397581155, -71.05688666176559"
228,100.0,100%,4,1.0,1.0,1.0,85.0,0,"42.36913699771693, -71.11435455369649"
229,96.0,100%,28,1.0,1.0,2.0,88.0,0,"42.38077344774474, -71.08518544561615"
230,100.0,100%,1,1.0,1.0,1.0,89.0,2,"42.34910682295989, -71.12858566302741"
231,100.0,100%,1,1.0,1.0,1.0,124.0,0,"42.365112317266274, -71.11480075951329"
232,100.0,91%,52,1.0,0.0,1.0,155.0,5,"42.35960059714639, -71.06390773536619"
233,100.0,100%,1,1.0,1.0,1.0,10.0,0,"42.36042354087556, -71.06149583885444"
234,100.0,36%,307,2.0,3.0,4.0,181.0,17,"42.3620499578613, -71.06340406808059"
235,100.0,100%,4,2.0,1.0,1.0,115.0,43,"42.351493069548596, -71.06518757068073"
236,100.0,100%,1,2.5,3.0,9.0,350.0,40,"42.35076076438733, -71.06585080123416"
237,97.0,100%,1,1.0,1.0,1.0,75.0,5,"42.345858458360766, -71.08958270661267"
239,100.0,100%,1,1.0,1.0,1.0,125.0,0,"42.34174882535878, -71.09203402386726"
240,100.0,100%,6,1.0,1.0,1.0,300.0,1,"42.34753480529132, -71.0889398102648"
241,100.0,93%,1,1.0,1.0,1.0,69.0,7,"42.34400980762698, -71.08808873027532"
242,100.0,69%,122,2.0,2.0,2.0,315.0,0,"42.34370039951436, -71.09752132395923"
244,100.0,89%,2,1.0,1.0,1.0,75.0,178,"42.345365985938564, -71.13987117789421"
